น้ำผึ้ง,ต.บ้านอิฐ อ.เมืองอ่างทอง จ.อ่างทอง 14000,เขตพื้นที่การศึกษาอ่างทอง เขต 1
นาบัวไผ่วิทยา,ต.นาบัว อ.เพ็ญ จ.อุดรธานี 41150,เขตพื้นที่การศึกษาอุดรธานี เขต 1
นามั่ง,ต.บ้านยวด อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
นาน้ำชุ่ม,ต.บ้านโคก อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
นาสะอาด,ต.นาสะอาด อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
นาหว้า(สันติราษฎร์พิทยาคม),ต.นาสะอาด อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
น้ำเที่ยง,ต.บ้านหินโงม อ.สร้างคอม จ.อุดรธานี 41260,เขตพื้นที่การศึกษาอุดรธานี เขต 1
นาดีโคกกลาง,ต.นาดี อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
นาฝาย,ต.นาดี อ.หนองแสง จ.อุดรธานี 41340,เขตพื้นที่การศึกษาอุดรธานี เขต 2
นาต้องนาสมนึก,ต.นายูง อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
นายูง,ต.นายูง อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
นาคำ,ต.บ้านก้อง อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
นาคำน้อย,ต.บ้านก้อง อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
นาตูม,ต.บ้านก้อง อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
นาแค,ต.นาแค อ.นายูง จ.อุดรธานี 41380,เขตพื้นที่การศึกษาอุดรธานี เขต 4
นาทรายน้ำรอด,ต.นาทราย อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
นานกหงส์เสรี,ต.นาทราย อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
นายม,ต.ดอนกลอย อ.พิบูลย์รักษ์ จ.อุดรธานี 41130,เขตพื้นที่การศึกษาอุดรธานี เขต 3
นาม่วง,ต.นาม่วง อ.ประจักษ์ศิลปาคม จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
น้ำเที่ยงลานเตหนองเม็ก,ต.อุ่มจาน อ.ประจักษ์ศิลปาคม จ.อุดรธานี 41110,เขตพื้นที่การศึกษาอุดรธานี เขต 2
น้ำภู,ต.เมือง อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
น้ำคิว,ต.เสี้ยว อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
นาโป่ง,ต.นาโป่ง อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
นาดินดำ,ต.นาดินดำ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
นาน้ำมัน,ต.น้ำสวย อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
นาบอน,ต.ชัยพฤกษ์ อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
นาแขม,ต.นาแขม อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
นาโคก,ต.ศรีสองรัก อ.เมืองเลย จ.เลย 42100,เขตพื้นที่การศึกษาเลย เขต 1
นาม่วง,ต.ศรีสองรัก อ.เมืองเลย จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
นาดอกคำ,ต.นาดอกคำ อ.นาด้วง จ.เลย 42210,เขตพื้นที่การศึกษาเลย เขต 1
น้ำสวยห้วยปลาดุก,ต.นาดอกคำ อ.นาด้วง จ.เลย 42210,เขตพื้นที่การศึกษาเลย เขต 1
น้ำสวยภักดี,ต.ท่าสะอาด อ.นาด้วง จ.เลย 42000,เขตพื้นที่การศึกษาเลย เขต 1
